run_id,case_id,scene_id,priority,planned_targets,triggered_targets,missing_targets,coverage_success,turns_count,end_reason,state_events
run_20260518_143236_feimaotui_contract_notify,case_001,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification;continuous_delivery_days_requirement,,true,4,coverage_complete,understanding_rise;understanding_rise
run_20260518_143236_feimaotui_contract_notify,case_002,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification;continuous_delivery_days_requirement,,true,4,coverage_complete,user_asks_requirements;time_constraint_mentioned;requirement_clarified;time_constraint_reiterated
run_20260518_143236_feimaotui_contract_notify,case_003,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification;continuous_delivery_days_requirement,,true,4,coverage_complete,understanding_rise;suspicion_rise
run_20260518_143236_feimaotui_contract_notify,case_004,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification;continuous_delivery_days_requirement,,true,8,coverage_complete,fraud_suspicion_rise;trust_drop;trust_recovered;fraud_suspicion_drop;understanding_rise;understanding_rise;understanding_rise
run_20260518_143236_feimaotui_contract_notify,case_005,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification;continuous_delivery_days_requirement,,true,4,coverage_complete,user_requests_delay;understanding_rise;urgency_rise
run_20260518_143236_feimaotui_contract_notify,case_006,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification,continuous_delivery_days_requirement,false,14,骑手确认开始配送，且已无其他问题，对话自然结束,trust_rise;suspicion_drop;understanding_rise;understanding_rise;patience_slight_drop
run_20260518_143236_feimaotui_contract_notify,case_007,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification;continuous_delivery_days_requirement,,true,4,coverage_complete,misunderstanding_contract_terms;continuous_requirement_questioned
run_20260518_143236_feimaotui_contract_notify,case_008,feimaotui_contract_notify,P0,contract_effective_notification;continuous_delivery_days_requirement,contract_effective_notification;continuous_delivery_days_requirement,,true,4,coverage_complete,understanding_rise;urgency_rise;understanding_rise;urgency_rise;patience_drop
run_20260518_143236_feimaotui_contract_notify,case_009,feimaotui_contract_notify,P0,retention_encouragement;quota_competition_warning;contract_effective_notification;continuous_delivery_days_requirement;ranking_mechanism_explanation,contract_effective_notification;continuous_delivery_days_requirement;quota_competition_warning;retention_encouragement,ranking_mechanism_explanation,false,16,骑手同意尝试配送，站长鼓励并提醒安全，符合成功结束条件,patience_drop;user_refuses_initial;understanding_rise;urgency_rise;patience_drop;patience_drop;understanding_rise;urgency_rise;willingness_rise;urgency_rise;understanding_rise;patience_drop;user_agrees_to_try;patience_drop;user_agrees_to_try;user_agrees_to_try;user_requests_hangup
run_20260518_143236_feimaotui_contract_notify,case_010,feimaotui_contract_notify,P0,retention_encouragement;quota_competition_warning;contract_effective_notification;continuous_delivery_days_requirement;single_day_contract_requirement,contract_effective_notification;continuous_delivery_days_requirement;single_day_contract_requirement;retention_encouragement;quota_competition_warning,,true,6,coverage_complete,fraud_suspicion_rise;urgency_rise;understanding_rise;urgency_rise;patience_drop;patience_drop;fraud_suspicion_rise;urgency_rise;understanding_rise
run_20260518_143236_feimaotui_contract_notify,case_011,feimaotui_contract_notify,P0,retention_encouragement;quota_competition_warning;contract_effective_notification;continuous_delivery_days_requirement;closing_on_unable_to_deliver,contract_effective_notification;retention_encouragement;continuous_delivery_days_requirement;closing_on_unable_to_deliver,quota_competition_warning,false,10,骑手坚持拒绝，站长安抚后结束通话，符合case stop policy,patience_drop;patience_drop;trust_drop;fraud_suspicion_rise;fraud_suspicion_rise;trust_drop;patience_drop;patience_drop;trust_drop;fraud_suspicion_rise;fraud_suspicion_rise;patience_drop
run_20260518_143236_feimaotui_contract_notify,case_012,feimaotui_contract_notify,P0,retention_encouragement;quota_competition_warning;contract_effective_notification;continuous_delivery_days_requirement;ranking_mechanism_explanation,contract_effective_notification;retention_encouragement;continuous_delivery_days_requirement;quota_competition_warning,ranking_mechanism_explanation,false,14,骑手勉强同意明天尝试，但身体原因可能无法配送，站长已做安全提醒和安抚，符合case stop policy中的forced_end条件（骑手坚持无法配送，站长安慰挂断），且对话已接近自然结束。,patience_drop;urgency_rise;patience_drop;urgency_rise;understanding_rise;patience_drop;urgency_rise;understanding_rise;willingness_shift_to_reluctant;patience_drop;patience_drop;patience_drop;patience_drop
run_20260518_143236_feimaotui_contract_notify,case_013,feimaotui_contract_notify,P0,retention_encouragement;quota_competition_warning;contract_effective_notification;continuous_delivery_days_requirement;reward_policy_explanation,contract_effective_notification;reward_policy_explanation;retention_encouragement;quota_competition_warning;continuous_delivery_days_requirement,,true,6,coverage_complete,user_asks_benefits;patience_drop;trust_drop;fraud_suspicion_rise;urgency_rise;understanding_rise;patience_drop;trust_drop;fraud_suspicion_rise;urgency_rise;user_requests_guarantee
run_20260518_143236_feimaotui_contract_notify,case_014,feimaotui_contract_notify,P0,retention_encouragement;quota_competition_warning;contract_effective_notification;continuous_delivery_days_requirement;single_day_contract_requirement,contract_effective_notification;single_day_contract_requirement;continuous_delivery_days_requirement;quota_competition_warning;retention_encouragement,,true,6,coverage_complete,misunderstanding_contract_requirement;suspicion_rise;suspicion_rise;trust_drop;patience_drop;reward_credibility_doubt;suspicion_rise
run_20260518_143236_feimaotui_contract_notify,case_015,feimaotui_contract_notify,P0,retention_encouragement;quota_competition_warning;contract_effective_notification;continuous_delivery_days_requirement;exit_rule_explanation,contract_effective_notification;retention_encouragement;quota_competition_warning;continuous_delivery_days_requirement;exit_rule_explanation,,true,8,coverage_complete,user_busy_urgency_rise;patience_drop;understanding_rise;urgency_drop;willingness_shift_to_hesitation;understanding_rise;patience_drop;urgency_drop;willingness_remains_hesitation;exit_rule_understood;willingness_shift_to_try;urgency_drop
