run_id,case_id,scene_id,priority,planned_targets,triggered_targets,missing_targets,coverage_success,turns_count,end_reason
16f8eb53cf774ade94822768d7856de4,case_001,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_contract_effective_notification;process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion,,true,8,骑手确认理解所有要求并愿意开始配送
16f8eb53cf774ade94822768d7856de4,case_002,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_contract_effective_notification;process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;process_step_willingness_inquiry;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder,process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism,false,12,骑手上课挂断
16f8eb53cf774ade94822768d7856de4,case_003,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_retention_and_encouragement;process_step_willingness_inquiry,task_goal_consecutive_days_requirement;task_goal_safety_reminder;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism,false,24,max_turns
16f8eb53cf774ade94822768d7856de4,case_004,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_additional_reward;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_contract_effective_notification;process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_daily_minimum_order_requirement;process_step_willingness_inquiry;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_additional_reward,,true,12,coverage_complete
16f8eb53cf774ade94822768d7856de4,case_005,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_contract_effective_notification;process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_daily_minimum_order_requirement;task_goal_safety_reminder;process_step_willingness_inquiry;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism,,true,14,骑手理解所有要求并愿意开始配送
16f8eb53cf774ade94822768d7856de4,case_006,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,process_step_identity_confirmation;task_goal_contract_effective_notification;process_step_willingness_inquiry;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,,true,12,coverage_complete
16f8eb53cf774ade94822768d7856de4,case_007,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_contract_effective_notification;process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement,task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion,false,8,骑手因不耐烦挂断
16f8eb53cf774ade94822768d7856de4,case_008,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_additional_reward;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,process_step_identity_confirmation;task_goal_contract_effective_notification;process_step_willingness_inquiry;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_additional_reward,false,24,max_turns
16f8eb53cf774ade94822768d7856de4,case_009,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_additional_reward;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_contract_effective_notification;process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;process_step_willingness_inquiry;knowledge_accuracy_additional_reward;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_registration_mechanism_explanation;process_step_behavior_suggestion,,true,8,coverage_complete
16f8eb53cf774ade94822768d7856de4,case_010,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_additional_reward;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,task_goal_contract_effective_notification;process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;knowledge_accuracy_additional_reward;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion,,true,10,coverage_complete
16f8eb53cf774ade94822768d7856de4,case_011,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,process_step_identity_confirmation;task_goal_contract_effective_notification;process_step_willingness_inquiry;task_goal_daily_minimum_order_requirement;task_goal_retention_and_encouragement;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_safety_reminder;task_goal_consecutive_days_requirement,process_step_registration_mechanism_explanation;process_step_behavior_suggestion;knowledge_accuracy_exit_mechanism,false,24,max_turns
16f8eb53cf774ade94822768d7856de4,case_012,meituan_feimaotui_contract_notification,P0,task_goal_contract_effective_notification;task_goal_daily_minimum_order_requirement;task_goal_consecutive_days_requirement;task_goal_retention_and_encouragement;task_goal_safety_reminder;process_step_identity_confirmation;process_step_willingness_inquiry;process_step_registration_mechanism_explanation;process_step_behavior_suggestion;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition,process_step_identity_confirmation;compliance_no_ranking_intervention_promise;compliance_no_threat_or_pressure;compliance_no_insulting_language;expression_quality_reply_length;expression_quality_no_repetition;task_goal_contract_effective_notification;process_step_willingness_inquiry;task_goal_retention_and_encouragement;task_goal_daily_minimum_order_requirement;task_goal_safety_reminder,task_goal_consecutive_days_requirement;process_step_registration_mechanism_explanation;process_step_behavior_suggestion,false,22,骑手坚持拒绝，站长安慰后挂断
